,Venue Category
Mexican Restaurant,216
Taco Place,152
Coffee Shop,117
Ice Cream Shop,89
Bakery,84
Seafood Restaurant,47
Park,43
Burger Joint,40
Gym / Fitness Center,40
Café,39
Pizza Place,39
Restaurant,37
Food Truck,34
Dance Studio,33
Dessert Shop,31
Spa,26
Italian Restaurant,26
Pet Store,24
Breakfast Spot,23
Argentinian Restaurant,21
Gym,20
Pharmacy,20
Sushi Restaurant,18
Cosmetics Shop,17
Japanese Restaurant,17
Steakhouse,16
Theater,15
Performing Arts Venue,15
Vegetarian / Vegan Restaurant,14
Health & Beauty Service,13
Sandwich Place,12
Brewery,12
BBQ Joint,12
Pool,11
Sporting Goods Shop,10
Flea Market,10
Art Gallery,10
Athletics & Sports,10
Bar,9
Music Venue,9
Southern / Soul Food Restaurant,9
Juice Bar,8
Tea Room,8
Gymnastics Gym,7
Martial Arts Dojo,7
Bookstore,7
Food Stand,7
Department Store,7
Tapas Restaurant,7
Candy Store,7
Deli / Bodega,7
Farmers Market,7
Market,7
Health Food Store,7
Liquor Store,7
Garden,7
Fast Food Restaurant,7
Food Court,7
French Restaurant,6
Fried Chicken Joint,6
Yoga Studio,6
Motel,6
Auto Workshop,6
Multiplex,6
American Restaurant,6
Diner,6
Dog Run,6
Convenience Store,5
Concert Hall,5
Nail Salon,5
Snack Place,5
Supermarket,5
Optical Shop,5
Bistro,5
Comfort Food Restaurant,5
Salon / Barbershop,4
Grocery Store,4
Clothing Store,4
Gastropub,4
South American Restaurant,4
Hotel,4
Winery,4
German Restaurant,4
Middle Eastern Restaurant,4
Shipping Store,4
Track,4
Movie Theater,4
Sports Club,4
Veterinarian,4
Wings Joint,4
Boxing Gym,4
Playground,4
Boutique,4
Miscellaneous Shop,4
Men's Store,4
Lingerie Store,3
Drugstore,3
College Arts Building,3
Pet Café,3
Hobby Shop,3
Buffet,3
Salsa Club,3
Shopping Mall,3
Bike Rental / Bike Share,3
Beer Bar,3
Office,3
Asian Restaurant,3
Donut Shop,3
Pie Shop,3
Soccer Field,3
Eastern European Restaurant,3
Theme Restaurant,3
Hot Dog Joint,3
Gym Pool,3
Kebab Restaurant,3
General Entertainment,3
Motorcycle Shop,3
Residential Building (Apartment / Condo),3
Furniture / Home Store,2
Automotive Shop,2
Piercing Parlor,2
Toy / Game Store,2
Trail,2
Flower Shop,2
Bowling Alley,2
History Museum,2
Greek Restaurant,2
Gourmet Shop,2
Venezuelan Restaurant,2
Music Store,2
Jewelry Store,2
Auto Garage,2
Locksmith,2
Arts & Crafts Store,2
University,2
Peruvian Restaurant,2
Lebanese Restaurant,2
Film Studio,2
Women's Store,2
Turkish Restaurant,2
Nightclub,2
English Restaurant,2
Exhibit,2
Art Museum,2
Recreation Center,2
Rock Climbing Spot,2
Antique Shop,2
Stadium,2
Spanish Restaurant,2
Basketball Court,2
Butcher,2
Indie Movie Theater,2
Chocolate Shop,2
Jazz Club,2
Fountain,2
Mediterranean Restaurant,2
Cupcake Shop,2
IT Services,2
Camera Store,2
Coworking Space,1
Public Art,1
Water Park,1
Sports Bar,1
Wine Bar,1
Other Great Outdoors,1
Baseball Stadium,1
Government Building,1
Salad Place,1
Paella Restaurant,1
Beer Garden,1
Bridal Shop,1
Plaza,1
Pet Service,1
Food & Drink Shop,1
Soccer Stadium,1
Creperie,1
Russian Restaurant,1
Paper / Office Supplies Store,1
Basketball Stadium,1
Pool Hall,1
Floating Market,1
Lounge,1
Warehouse Store,1
Frozen Yogurt Shop,1
Food,1
Rest Area,1
Tattoo Parlor,1
Medical Center,1
Chinese Restaurant,1
Fish Market,1
Electronics Store,1
Hotel Bar,1
Resort,1
